step,total_loss,loss_voxel_ce_c_0,loss_voxel_sem_scal_c_0,loss_voxel_geo_scal_c_0,loss_voxel_lovasz_c_0,loss_voxel_ce_fine,loss_voxel_sem_scal_fine,loss_voxel_geo_scal_fine,loss_voxel_lovasz_fine,loss_center_heatmap,loss_center_reg,loss_center_vel,valid_occ_voxels,gt_unique,softmax_mean,softmax_max,has_det_label
50,35.644024312496185,2.4069533348083496,8.790193557739258,4.867486000061035,0.8887547850608826,1.2456207275390625,10.379755020141602,6.152337551116943,0.9129233360290527,,,,10485225,0;2;4;6;7;10;11;13;14;15;16;255,-1,-1,0
100,26.791056275367737,1.9379091262817383,6.74652624130249,3.0503315925598145,0.8685124516487122,1.0822263956069946,8.371966361999512,3.8299853801727295,0.9035987257957458,,,,10484636,0;3;4;7;10;11;13;14;15;16;255,-1,-1,0
150,26.861164093017578,1.7900429964065552,6.7936320304870605,3.47188138961792,0.8686138987541199,0.8552451133728027,8.126781463623047,4.057577610015869,0.8973895907402039,,,,10482491,0;4;5;7;9;10;11;13;14;15;16;255,-1,-1,0
200,22.575490593910217,1.4996696710586548,5.7780609130859375,2.929687738418579,0.8137016892433167,0.8605313301086426,6.60998010635376,3.2427728176116943,0.8410863280296326,,,,10485532,0;4;8;11;12;13;14;15;16;255,-1,-1,0
250,23.153814673423767,1.9583840370178223,6.589155197143555,2.349301815032959,0.8603060245513916,0.8451606631278992,7.284056186676025,2.414973258972168,0.852477490901947,,,,10484749,0;4;7;11;12;13;14;15;16;255,-1,-1,0
300,21.925251305103302,1.1483094692230225,6.5224409103393555,2.879514455795288,0.8316728472709656,0.8361049890518188,6.39910364151001,2.4680700302124023,0.8400349617004395,,,,10481218,0;4;5;7;8;9;10;11;13;14;15;16;255,-1,-1,0
350,22.86726540327072,1.0643774271011353,7.2369704246521,2.527895450592041,0.8350476026535034,0.8121795654296875,7.226269721984863,2.3220176696777344,0.842507541179657,,,,10484228,0;4;5;6;7;8;10;11;13;14;15;16;255,-1,-1,0
400,24.545555859804153,0.9967271685600281,6.737504482269287,3.9736549854278564,0.7896447777748108,0.4468749463558197,7.126239776611328,3.69476318359375,0.7801465392112732,,,,10485096,0;1;4;7;8;10;11;13;14;15;16;255,-1,-1,0
450,21.136164963245392,0.8469536304473877,7.351027965545654,2.123673439025879,0.8377728462219238,0.8038991093635559,6.1521830558776855,2.2079765796661377,0.812678337097168,,,,10483785,0;4;5;8;10;11;12;13;14;15;16;255,-1,-1,0
500,16.456790268421173,0.909812867641449,4.573807716369629,1.8766320943832397,0.782050371170044,0.9915046095848083,4.664544582366943,1.8663583993911743,0.7920796275138855,,,,10484361,0;7;10;11;13;14;15;16;255,-1,-1,0
550,19.19066947698593,0.6186936497688293,5.989516735076904,1.4957388639450073,0.793545663356781,0.9857641458511353,6.570859432220459,1.9130396842956543,0.8235113024711609,,,,10485582,0;2;4;6;7;10;11;12;13;14;15;16;255,-1,-1,0
600,18.917101323604584,0.5820590257644653,5.908860206604004,1.570025086402893,0.8059882521629333,0.8403931260108948,6.4891839027404785,1.8812869787216187,0.8393047451972961,,,,10484364,0;1;4;5;6;8;9;10;11;13;14;15;16;255,-1,-1,0
650,16.370969414711,0.8496028184890747,4.598172187805176,1.1970820426940918,0.7848841547966003,1.2114460468292236,5.059393882751465,1.855926752090454,0.8144615292549133,,,,10485655,0;2;7;11;12;13;14;15;16;255,-1,-1,0
700,14.956731259822845,0.804853618144989,4.216497898101807,1.2139582633972168,0.7471805810928345,1.0393954515457153,4.460422992706299,1.709279179573059,0.7651432752609253,,,,10485157,0;4;7;11;12;13;14;15;16;255,-1,-1,0
750,19.726144015789032,1.0003196001052856,6.023674964904785,1.211091160774231,0.8369659781455994,1.2343906164169312,6.746403217315674,1.8270118236541748,0.8462866544723511,,,,10483314,0;1;4;5;6;7;8;10;11;12;13;14;15;16;255,-1,-1,0
50,34.67853355407715,2.408982515335083,8.631564140319824,4.848585605621338,0.8806943893432617,1.2504528760910034,9.572735786437988,6.179991245269775,0.9055269956588745,,,,10485225,0;2;4;6;7;10;11;13;14;15;16;255,-1,-1,0
100,26.6788809299469,1.993574619293213,6.811031341552734,3.072619915008545,0.8759908676147461,1.1154208183288574,8.112788200378418,3.7946484088897705,0.9028067588806152,,,,10484636,0;3;4;7;10;11;13;14;15;16;255,-1,-1,0
150,26.840359449386597,1.776652455329895,6.755877494812012,3.4381542205810547,0.8636301755905151,0.840835452079773,8.172401428222656,4.1042962074279785,0.8885120153427124,,,,10482491,0;4;5;7;9;10;11;13;14;15;16;255,-1,-1,0
50,35.78551805019379,2.3916056156158447,8.941692352294922,4.891067028045654,0.8907210826873779,1.2341699600219727,10.356721878051758,6.164283752441406,0.9152563810348511,,,,10485225,0;2;4;6;7;10;11;13;14;15;16;255,-1,-1,0
100,26.53370088338852,1.9695303440093994,6.823792934417725,3.062940835952759,0.870926022529602,1.059846043586731,8.020185470581055,3.8239219188690186,0.9025573134422302,,,,10484636,0;3;4;7;10;11;13;14;15;16;255,-1,-1,0
50,35.60825401544571,2.411832571029663,8.919618606567383,4.854118347167969,0.897705078125,1.2438549995422363,10.121476173400879,6.245314598083496,0.9143336415290833,0.0,0.0,0.0,0.0,10485225,0;2;4;6;7;10;11;13;14;15;16;255,-1,-1,0
100,26.080497980117798,1.9571244716644287,6.728244304656982,3.0480408668518066,0.869050920009613,1.0881675481796265,7.774378299713135,3.718433141708374,0.8970584273338318,0.0,0.0,0.0,0.0,10484636,0;3;4;7;10;11;13;14;15;16;255,-1,-1,0
150,26.78063851594925,1.8261678218841553,6.783912658691406,3.460289239883423,0.8645992279052734,0.8944013118743896,7.970763206481934,4.088918209075928,0.8915868401527405,0.0,0.0,0.0,0.0,10482491,0;4;5;7;9;10;11;13;14;15;16;255,-1,-1,0
200,22.83275216817856,1.5485063791275024,5.7791266441345215,2.9070942401885986,0.815845787525177,0.804063618183136,6.828869819641113,3.3066344261169434,0.8426112532615662,0.0,0.0,0.0,0.0,10485532,0;4;8;11;12;13;14;15;16;255,-1,-1,0
250,22.546582996845245,2.0420174598693848,6.635335445404053,2.434256076812744,0.8670948147773743,0.8327716588973999,6.441372871398926,2.4547858238220215,0.8389488458633423,0.0,0.0,0.0,0.0,10484749,0;4;7;11;12;13;14;15;16;255,-1,-1,0
300,22.318700075149536,1.2269850969314575,6.577171325683594,2.864475965499878,0.8350746035575867,0.745547354221344,6.646268844604492,2.57464599609375,0.8485308885574341,0.0,0.0,0.0,0.0,10481218,0;4;5;7;8;9;10;11;13;14;15;16;255,-1,-1,0
350,23.206264793872833,1.123956322669983,7.408657073974609,2.5564613342285156,0.8439822196960449,0.7884821891784668,7.339907646179199,2.2924721240997314,0.852345883846283,0.0,0.0,0.0,0.0,10484228,0;4;5;6;7;8;10;11;13;14;15;16;255,-1,-1,0
400,25.186735928058624,0.9464585185050964,6.972341537475586,3.869722843170166,0.7981288433074951,0.5153698325157166,7.437402248382568,3.8470497131347656,0.8002623915672302,0.0,0.0,0.0,0.0,10485096,0;1;4;7;8;10;11;13;14;15;16;255,-1,-1,0
450,21.049375653266907,0.9223225712776184,7.154012203216553,2.206707239151001,0.8321965336799622,0.8125327229499817,6.103140354156494,2.2035770416259766,0.8148869872093201,0.0,0.0,0.0,0.0,10483785,0;4;5;8;10;11;12;13;14;15;16;255,-1,-1,0
500,16.78908258676529,0.9878979325294495,4.648004055023193,1.968027949333191,0.7838626503944397,0.9227057099342346,4.789868354797363,1.8884713649749756,0.8002445697784424,0.0,0.0,0.0,0.0,10484361,0;7;10;11;13;14;15;16;255,-1,-1,0
550,19.346994042396545,0.6277856230735779,5.848753929138184,1.5831899642944336,0.7875468730926514,0.9394262433052063,6.837835311889648,1.8954696655273438,0.8269864320755005,0.0,0.0,0.0,0.0,10485582,0;2;4;6;7;10;11;12;13;14;15;16;255,-1,-1,0
600,19.072000443935394,0.5918495655059814,5.872788429260254,1.5888864994049072,0.8037407398223877,0.9414206743240356,6.50601053237915,1.9283442497253418,0.8389597535133362,0.0,0.0,0.0,0.0,10484364,0;1;4;5;6;8;9;10;11;13;14;15;16;255,-1,-1,0
650,16.531759023666382,0.8860437870025635,4.69212532043457,1.2301796674728394,0.7896121740341187,1.201866626739502,5.086287021636963,1.8356374502182007,0.8100069761276245,0.0,0.0,0.0,0.0,10485655,0;2;7;11;12;13;14;15;16;255,-1,-1,0
50,34.68677228689194,2.390824556350708,8.345120429992676,4.776655673980713,0.8773406147956848,1.27338445186615,9.89829158782959,6.210528373718262,0.9146265983581543,0.0,0.0,0.0,0.0,10485227,0;2;4;6;7;10;11;13;14;15;16;255,-1,-1,0
100,26.420091152191162,1.960340976715088,6.563275337219238,3.111186981201172,0.859906792640686,1.091598391532898,8.154781341552734,3.7755846977233887,0.903416633605957,0.0,0.0,0.0,0.0,10484649,0;3;4;7;10;11;13;14;15;16;255,-1,-1,0
150,26.11317491531372,1.8172234296798706,6.4739484786987305,3.481884479522705,0.847446620464325,0.847059965133667,7.780632972717285,3.985732078552246,0.8792468905448914,0.0,0.0,0.0,0.0,10482524,0;4;5;7;9;10;11;13;14;15;16;255,-1,-1,0
50,35.199433982372284,2.3969509601593018,8.534514427185059,4.78593111038208,0.882337749004364,1.2742775678634644,10.15432071685791,6.252245903015137,0.9188555479049683,0.0,0.0,0.0,0.0,10485227,0;2;4;6;7;10;11;13;14;15;16;255,-1,-1,0
